,Title,Score,Genres,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Duration,Rating,Popularity,Members,Favorites,Ranked
86,"Shiguang Dailiren
Link Click",8.55,"Super Power, Drama, Fantasy",ONA,11,Currently Airing,"Apr 30, 2021 to ?",,,bilibili,Funimation,Haoliners Animation League,Original,20 min. per ep.,PG-13 - Teens 13 or older,2708,"39,796",802,87
87,"Sora yori mo Tooi Basho
A Place Further Than The Universe",8.55,"Adventure, Comedy, Drama",TV,13,Finished Airing,"Jan 2, 2018 to Mar 27, 2018",Winter 2018,Tuesdays at 20:30 (JST),"Media Factory, Movic, AT-X, Sony Music Communications, Docomo Anime Store, Kadokawa Media House, Kadokawa, NewGin, Crunchyroll SC Anime Fund","None found, add some",Madhouse,Original,23 min. per ep.,PG-13 - Teens 13 or older,404,"380,355","10,964",88
88,"Yuru Camp△ Season 2
Laid-Back Camp Season 2",8.55,"Slice of Life, Comedy",TV,13,Finished Airing,"Jan 7, 2021 to Apr 1, 2021",Winter 2021,Thursdays at 23:00 (JST),"Half H.P Studio, MAGES., DeNA","None found, add some",C-Station,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1164,"141,841","1,795",89
89,Haikyuu!!: To the Top 2nd Season,8.55,"Comedy, Sports, Drama, School, Shounen",TV,12,Finished Airing,"Oct 3, 2020 to Dec 19, 2020",Fall 2020,Saturdays at 02:25 (JST),"Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha","None found, add some",Production I.G,Manga,23 min. per ep.,PG-13 - Teens 13 or older,313,"484,241","4,133",90
90,"Kara no Kyoukai 5: Mujun Rasen
the Garden of sinners Chapter 5: Paradox Paradigm",8.55,"Action, Mystery, Supernatural, Drama, Romance, Thriller",Movie,1,Finished Airing,16-Aug-08,,,Notes,Aniplex of America,ufotable,Light novel,1 hr. 54 min.,R - 17+ (violence & profanity),826,"199,578","3,922",91
91,"Koukaku Kidoutai: Stand Alone Complex 2nd GIG
Ghost in the Shell: Stand Alone Complex 2nd GIG",8.54,"Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen",TV,26,Finished Airing,"Jan 1, 2004 to Jan 8, 2005",Winter 2004,Unknown,"Bandai Visual, Dentsu, Victor Entertainment, Kodansha, Tokuma Shoten, Nippon Television Network","Bandai Entertainment, Manga Entertainment",Production I.G,Manga,25 min. per ep.,R - 17+ (violence & profanity),831,"198,644","2,744",92
92,One Punch Man,8.54,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",TV,12,Finished Airing,"Oct 5, 2015 to Dec 21, 2015",Fall 2015,Mondays at 01:05 (JST),"TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, JR East Marketing & Communications",VIZ Media,Madhouse,Web manga,24 min. per ep.,R - 17+ (violence & profanity),5,"2,404,085","51,094",93
93,Neon Genesis Evangelion: The End of Evangelion,8.53,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1,Finished Airing,19-Jul-97,,,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka","GKIDS, Manga Entertainment","Gainax, Production I.G",Original,1 hr. 27 min.,R+ - Mild Nudity,189,"651,640","18,918",94
94,Slam Dunk,8.53,"Comedy, Drama, School, Shounen, Sports",TV,101,Finished Airing,"Oct 16, 1993 to Mar 23, 1996",Fall 1993,Unknown,"TV Asahi, Animax","Flatiron Film Company, Geneon Entertainment USA",Toei Animation,Manga,23 min. per ep.,PG-13 - Teens 13 or older,748,"221,737","5,260",95
95,"Gintama.: Porori-hen
Gintama.: Slip Arc",8.53,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,Finished Airing,"Oct 2, 2017 to Dec 25, 2017",Fall 2017,Mondays at 01:35 (JST),"TV Tokyo, Aniplex, Dentsu, Shueisha","None found, add some",Bandai Namco Pictures,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1146,"144,330",730,96
96,"Ansatsu Kyoushitsu 2nd Season
Assassination Classroom Second Season",8.52,"Action, Comedy, School, Shounen",TV,25,Finished Airing,"Jan 8, 2016 to Jul 1, 2016",Winter 2016,Fridays at 01:25 (JST),"Dentsu, Studio Hibari, Fuji TV, DAX Production, Avex Pictures, Shueisha, Kansai Telecasting",Funimation,Lerche,Manga,23 min. per ep.,PG-13 - Teens 13 or older,85,"1,038,596","14,539",97
97,"Gintama Movie 1: Shinyaku Benizakura-hen
Gintama: The Movie",8.52,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",Movie,1,Finished Airing,24-Apr-10,,,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha",Sentai Filmworks,Sunrise,Manga,1 hr. 35 min.,R - 17+ (violence & profanity),1278,"126,523",459,98
98,Aria the Origination,8.51,"Sci-Fi, Slice of Life, Fantasy, Shounen",TV,13,Finished Airing,"Jan 8, 2008 to Apr 1, 2008",Winter 2008,Tuesdays at 02:00 (JST),"TV Tokyo, Shochiku, Mag Garden",Nozomi Entertainment,Hal Film Maker,Manga,24 min. per ep.,G - All Ages,1472,"103,704","3,594",99
99,Gintama: The Semi-Final,8.51,"Action, Comedy, Historical, Parody, Samurai, Shounen",Special,2,Finished Airing,"Jan 15, 2021 to Jan 20, 2021",,,"None found, add some","None found, add some",Bandai Namco Pictures,Manga,24 min. per ep.,PG-13 - Teens 13 or older,3081,"32,116",151,100
