Title,English_Title,Score,Genres,Type,Episodes,Status,Start_Date,End_Date,Premiered,Broadcast,Producers,Licensors,Studios,Source,Duration_Minutes,Rating,Popularity,Members,Favorites,Ranked
Mangaka-san to Assistant-san to The Animation,The Comic Artist and His Assistants,7.15,"Harem, Slice of Life, Comedy, Ecchi, Seinen",TV,12,Finished Airing,4/8/2014,6/24/2014,Spring 2014,Tuesdays at 01:05 (JST),"Lantis, Magic Capsule, Showgate",Sentai Filmworks,Zexcs,Manga,13,PG-13 - Teens 13 or older,708,238459,388,3092
Meikyuu Black Company,,7.15,"Comedy, Fantasy",TV,12,Currently Airing,7/9/2021,,Summer 2021,Fridays at 22:30 (JST),"Toy's Factory, Jinnan Studio, Kadokawa",Funimation,SILVER LINK.,Manga,23,None,1899,75613,261,3093
Mobile Suit Gundam SEED C.E.73: Stargazer,,7.15,"Space, Mecha, Military, Sci-Fi",ONA,3,Finished Airing,7/14/2006,9/29/2006,,,"None found, add some","None found, add some",Sunrise,Original,15,PG-13 - Teens 13 or older,3847,20790,36,3094
A3! Season Spring & Summer,,7.14,"Slice of Life, Drama",TV,12,Finished Airing,1/14/2020,6/23/2020,Winter 2020,Tuesdays at 00:00 (JST),"Pony Canyon, Liber Entertainment",Funimation,"P.A. Works, Studio 3Hz",Game,23,PG-13 - Teens 13 or older,3512,25387,198,3095
Ai Yori Aoshi: Enishi,,7.14,"Harem, Slice of Life, Comedy, Drama, Romance, Seinen",TV,12,Finished Airing,10/13/2003,12/29/2003,Fall 2003,Unknown,"Geneon Universal Entertainment, Rondo Robe, Movic, Cosmic Ray","Funimation, Geneon Entertainment USA",J.C.Staff,Manga,23,PG-13 - Teens 13 or older,2356,53590,78,3096
Angolmois: Genkou Kassenki,Angolmois: Record of Mongol Invasion,7.14,"Action, Drama, Historical, Military, Samurai",TV,12,Finished Airing,7/11/2018,9/26/2018,Summer 2018,Wednesdays at 12:30 (JST),HOTZIPANG,"None found, add some",NAZ,Manga,23,PG-13 - Teens 13 or older,2438,50813,91,3097
Boku no Hero Academia the Movie 3: World Heroes' Mission,,7.14,"Action, Comedy, Super Power, School, Shounen",Movie,1,Finished Airing,8/6/2021,,,,"None found, add some","None found, add some",Bones,Manga,105,PG-13 - Teens 13 or older,1655,93221,392,3098
Bokura wa Minna Kawai-sou Specials,,7.14,"Comedy, Seinen",Special,14,Finished Airing,7/2/2014,1/30/2015,,,"None found, add some","None found, add some",Brain's Base,Manga,0.4,PG-13 - Teens 13 or older,4383,15322,18,3099
Burn the Witch,,7.14,"Action, Magic, Fantasy, Shounen",Movie,3,Finished Airing,10/2/2020,,,,"Shueisha, Twin Engine, Bandai Namco Arts, FILMONY","None found, add some",Studio Colorido,Manga,21,PG-13 - Teens 13 or older,1050,161881,391,3100
Cardfight!! Vanguard: Link Joker-hen,Cardfight!! Vanguard Link Joker,7.14,"Action, Adventure, Demons, Game, Shounen",TV,59,Finished Airing,1/13/2013,3/2/2014,Winter 2013,Sundays at 10:00 (JST),"TV Tokyo, Dentsu, Sotsu, Bushiroad","None found, add some",TMS Entertainment,Original,24,PG-13 - Teens 13 or older,4013,18772,67,3101
Chuukan Kanriroku Tonegawa,Mr. Tonegawa: Middle Management Blues,7.14,"Comedy, Parody, Psychological, Drama, Seinen",TV,24,Finished Airing,7/4/2018,12/26/2018,Summer 2018,Wednesdays at 00:00 (JST),"VAP, Half H.P Studio, Nippon Television Network, Nippon Television Music",Sentai Filmworks,Madhouse,Manga,23,PG-13 - Teens 13 or older,3027,33472,93,3102
Code Geass: Boukoku no Akito 5 - Itoshiki Mono-tachi e,Code Geass: Akito the Exiled - To Beloved Ones,7.14,"Action, Military, Mecha",Movie,1,Finished Airing,2/6/2016,,,,"Bandai Visual, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners",Funimation,Sunrise,Original,59,R+ - Mild Nudity,1934,73045,83,3103
Cyborg 009 (1979),Cyborg 009,7.14,"Action, Adventure, Mecha, Sci-Fi, Shounen",TV,50,Finished Airing,3/6/1979,3/25/1980,Spring 1979,Unknown,"None found, add some","None found, add some",Toei Animation,Manga,24,PG-13 - Teens 13 or older,5699,7967,26,3104
Dash! Kappei,,7.14,"Comedy, Sports, Ecchi, Shounen",TV,65,Finished Airing,10/4/1981,12/26/1982,Fall 1981,Unknown,Fuji TV,"None found, add some","Tatsunoko Production, Tama Production",Unknown,25,PG-13 - Teens 13 or older,7122,4552,27,3105
Doraemon Movie 23: Nobita to Robot Kingdom,Doraemon the Movie: Nobita in the Robot Kingdom,7.14,"Adventure, Comedy, Fantasy, Kids, Shounen",Movie,1,Finished Airing,3/9/2002,,,,"TV Asahi, Shogakukan-Shueisha Productions","None found, add some","None found, add some",Unknown,81,PG - Children,6199,6412,1,3106
Futari wa Precure: Splash☆Star,Pretty Cure: Splash Star,7.14,"Action, Comedy, Magic, Fantasy, Shoujo",TV,49,Finished Airing,2/5/2006,1/28/2007,Winter 2006,Unknown,Asahi Broadcasting,"None found, add some",Toei Animation,Original,24,G - All Ages,5041,10735,60,3107
