Title,English_Title,Score,Genres,Type,Episodes,Status,Start_Date,End_Date,Premiered,Broadcast,Producers,Licensors,Studios,Source,Duration_Minutes,Rating,Popularity,Members,Favorites,Ranked
Aggressive Retsuko (ONA) 2nd Season,,7.76,"Comedy, Slice of Life",ONA,10,Finished Airing,6/14/2019,,,,"Sanrio, Netflix","None found, add some",Fanworks,Other,15,PG-13 - Teens 13 or older,1819,80814,195,909
Charlotte,,7.76,"Drama, School, Super Power",TV,13,Finished Airing,7/5/2015,9/27/2015,Summer 2015,Sundays at 00:00 (JST),"Aniplex, Mainichi Broadcasting System, Movic, Visual Arts, ASCII Media Works, Tokyo MX, BS11",Aniplex of America,P.A. Works,Original,24,PG-13 - Teens 13 or older,59,1237592,18323,910
City Hunter '91,,7.76,"Action, Comedy, Mystery, Shounen",TV,13,Finished Airing,4/28/1991,10/10/1991,Spring 1991,Unknown,"None found, add some",Discotek Media,Sunrise,Manga,23,PG-13 - Teens 13 or older,4257,16575,35,911
Claymore,,7.76,"Action, Adventure, Super Power, Demons, Supernatural, Fantasy, Shounen",TV,26,Finished Airing,4/4/2007,9/26/2007,Spring 2007,Unknown,"VAP, Avex Entertainment, Nippon Television Network, D.N. Dream Partners",Funimation,Madhouse,Manga,23,R+ - Mild Nudity,241,577374,7411,912
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,,7.76,"Comedy, Sci-Fi, Seinen",Movie,1,Finished Airing,4/21/2001,,,,"TV Asahi, Asatsu DK","None found, add some",Shin-Ei Animation,Manga,89,G - All Ages,6010,7030,59,913
Gundam Build Fighters,,7.76,"Action, Sci-Fi, Mecha",TV,25,Finished Airing,10/7/2013,3/31/2014,Fall 2013,Mondays at 18:00 (JST),"TV Tokyo, Sotsu",Nozomi Entertainment,Sunrise,Original,25,G - All Ages,2120,63615,574,914
"Haikyuu!!: vs. ""Akaten""",,7.76,"Sports, Shounen",OVA,1,Finished Airing,5/2/2016,,,,"None found, add some","None found, add some",Production I.G,Manga,24,PG-13 - Teens 13 or older,2041,67562,60,915
Hibike! Euphonium Movie 3: Chikai no Finale,Sound! Euphonium: Our Promise: A Brand New Day,7.76,"Music, Drama, School",Movie,1,Finished Airing,4/19/2019,,,,"Lantis, Shochiku, Heart Company",Eleven Arts,Kyoto Animation,Novel,101,PG-13 - Teens 13 or older,2563,45576,111,916
Junjou Romantica OVA,,7.76,"Comedy, Drama, Romance, Shounen Ai",OVA,2,Finished Airing,12/20/2012,12/1/2015,,,"Kadokawa Shoten, Romantica club !!","None found, add some",Studio Deen,Manga,22,PG-13 - Teens 13 or older,2510,47498,66,917
Kyoukai no Kanata,Beyond the Boundary,7.76,"Slice of Life, Supernatural, Fantasy",TV,12,Finished Airing,10/3/2013,12/19/2013,Fall 2013,Thursdays at 00:30 (JST),"Lantis, Pony Canyon, TBS",Sentai Filmworks,Kyoto Animation,Light novel,24,PG-13 - Teens 13 or older,103,950781,10478,918
Kyousou Giga (TV),Kyousougiga,7.76,"Action, Fantasy, Supernatural",TV,10,Finished Airing,10/10/2013,12/19/2013,Fall 2013,Thursdays at 01:30 (JST),"Asatsu DK, Dwango, Sony Music Communications, Bandai Channel, Aoni Production",Discotek Media,Toei Animation,Original,25,PG-13 - Teens 13 or older,1068,157629,1750,919
Neko no Ongaeshi,The Cat Returns,7.76,"Adventure, Drama, Fantasy",Movie,1,Finished Airing,7/20/2002,,,,"None found, add some","Walt Disney Studios, GKIDS",Studio Ghibli,Other,75,G - All Ages,811,209757,1061,920
Overlord II,,7.76,"Action, Game, Adventure, Supernatural, Magic, Fantasy",TV,13,Finished Airing,1/9/2018,4/3/2018,Winter 2018,Tuesdays at 22:30 (JST),"AT-X, Enterbrain, Grooove, Hakuhodo DY Music & Pictures, NTT Plala, Kadokawa",Funimation,Madhouse,Light novel,23,R - 17+ (violence & profanity),152,745158,3391,921
Ranma ½,,7.76,"Slice of Life, Comedy, Martial Arts, Fantasy, Shounen",TV,161,Finished Airing,4/15/1989,9/25/1992,Spring 1989,Unknown,"Shogakukan-Shueisha Productions, Kitty Films, Fuji TV, Shogakukan",VIZ Media,Studio Deen,Manga,24,R+ - Mild Nudity,807,210069,3334,922
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,,7.76,"Comedy, Drama, Slice of Life",Movie,1,Finished Airing,8/29/2015,,,,"Shochiku, flying DOG","None found, add some",TYO Animations,Original,52,G - All Ages,5580,8323,10,923
Tegamibachi Reverse,Tegami Bachi: Letter Bee Reverse,7.76,"Adventure, Supernatural, Fantasy, Shounen",TV,25,Finished Airing,10/3/2010,3/26/2011,Fall 2010,Sundays at 00:10 (JST),TV Tokyo,Sentai Filmworks,Studio Pierrot,Manga,20,PG-13 - Teens 13 or older,2277,56589,200,924
Texhnolyze,,7.76,"Action, Sci-Fi, Psychological, Drama",TV,22,Finished Airing,4/17/2003,9/25/2003,Spring 2003,Thursdays at 03:28 (JST),"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Original,23,R+ - Mild Nudity,859,198315,3801,925
The Last: Naruto the Movie,,7.76,"Action, Super Power, Romance, Martial Arts, Shounen",Movie,1,Finished Airing,12/6/2014,,,,"TV Tokyo, Shueisha",VIZ Media,Studio Pierrot,Manga,112,PG-13 - Teens 13 or older,358,432586,1499,926
Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,,7.76,"Action, Military, Sci-Fi, Space, Drama",Movie,1,Finished Airing,12/6/2014,,,,"Production I.G, Bandai Visual, OLM, AIC, Lantis, Shochiku, Bandai, Tohokushinsha Film Corporation, Bandai Namco Games, Voyager Entertainment","None found, add some",Xebec,Original,111,PG-13 - Teens 13 or older,4883,11623,9,927
Saint Seiya,Saint Seiya: Knights of the Zodiac,7.75,"Adventure, Fantasy, Sci-Fi, Shounen",TV,114,Finished Airing,10/11/1986,4/1/1989,Fall 1986,Unknown,"None found, add some","ADV Films, DiC Entertainment, Flatiron Film Company",Toei Animation,Manga,24,PG-13 - Teens 13 or older,1076,156799,3345,928
Saint Seiya: Meiou Hades Meikai-hen,Saint Seiya: The Hades Chapter - Inferno,7.75,"Action, Adventure, Demons, Fantasy, Sci-Fi, Shounen, Super Power",OVA,12,Finished Airing,12/17/2005,2/6/2007,,,"None found, add some","None found, add some",Toei Animation,Manga,25,PG-13 - Teens 13 or older,2649,42570,132,929
Shokugeki no Souma: Shin no Sara,Food Wars! The Fourth Plate,7.75,"Ecchi, School, Shounen",TV,12,Finished Airing,10/12/2019,12/28/2019,Fall 2019,Saturdays at 00:30 (JST),"Warner Bros. Japan, KlockWorx, Shueisha, Bandai Namco Arts","None found, add some",J.C.Staff,Manga,24,PG-13 - Teens 13 or older,350,443980,1135,930
Sidonia no Kishi: Daikyuu Wakusei Seneki,Knights of Sidonia: Battle for Planet Nine,7.75,"Action, Sci-Fi, Space, Mecha, Seinen",TV,12,Finished Airing,4/11/2015,6/27/2015,Spring 2015,Saturdays at 01:55 (JST),"Starchild Records, Mainichi Broadcasting System, Kodansha, Studio Mausu","Funimation, Sentai Filmworks",Polygon Pictures,Manga,24,R - 17+ (violence & profanity),1466,106698,329,931
Snow Halation,,7.75,Music,Music,1,Finished Airing,12/22/2010,,,,Lantis,"None found, add some",Sunrise,Music,6,PG-13 - Teens 13 or older,3969,19138,87,932
Tantei Gakuen Q,Detective School Q,7.75,"Comedy, Drama, Mystery, Police, Shounen",TV,45,Finished Airing,4/15/2003,3/20/2004,Spring 2003,Unknown,"Group TAC, Kodansha","None found, add some",Studio Pierrot,Manga,25,PG-13 - Teens 13 or older,3192,30082,218,933
Udon no Kuni no Kiniro Kemari,Poco's Udon World,7.75,"Slice of Life, Fantasy, Seinen",TV,12,Finished Airing,10/9/2016,12/25/2016,Fall 2016,Sundays at 01:55 (JST),"VAP, Nippon Television Network, Nippon Television Music, Nishinippon Broadcasting, Dai Nippon Printing, Shinchosha",Discotek Media,LIDENFILMS,Manga,22,PG-13 - Teens 13 or older,1459,107620,509,934
Ueki no Housoku,The Law of Ueki,7.75,"Action, Adventure, Comedy, Super Power, Supernatural, Drama, Shounen",TV,51,Finished Airing,4/4/2005,3/27/2006,Spring 2005,Mondays at 18:30 (JST),"Shogakukan-Shueisha Productions, Funimation, Studio Izena, Studio Tulip, TV Tokyo Music","Discotek Media, Geneon Entertainment USA",Studio Deen,Manga,23,PG-13 - Teens 13 or older,1511,103494,769,935
Enen no Shouboutai: Ni no Shou,Fire Force Season 2,7.75,"Action, Supernatural, Shounen",TV,24,Finished Airing,7/4/2020,12/12/2020,Summer 2020,Saturdays at 01:55 (JST),"Mainichi Broadcasting System, DMM pictures",Funimation,David Production,Manga,24,PG-13 - Teens 13 or older,326,478514,1757,936
Final Fantasy VII: Advent Children,,7.75,"Action, Super Power, Fantasy",Movie,1,Finished Airing,9/14/2005,,,,"None found, add some",Sony Pictures Entertainment,Square Enix,Game,101,PG-13 - Teens 13 or older,862,197062,1035,937
Free!: Take Your Marks,Free! -Take Your Marks-,7.75,"School, Slice of Life, Sports",Movie,1,Finished Airing,10/28/2017,,,,"None found, add some",Funimation,Kyoto Animation,Original,108,PG-13 - Teens 13 or older,2227,58828,103,938
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",GATE,7.75,"Action, Military, Adventure, Fantasy",TV,12,Finished Airing,1/9/2016,3/26/2016,Winter 2016,Saturdays at 01:05 (JST),"Genco, Warner Bros. Japan, KlockWorx, Showgate, Bandai Namco Games",Sentai Filmworks,A-1 Pictures,Light novel,23,R - 17+ (violence & profanity),347,450661,1598,939
Gekkan Shoujo Nozaki-kun Specials,,7.75,"Comedy, Romance, School",Special,6,Finished Airing,9/24/2014,2/25/2015,,,Media Factory,Sentai Filmworks,Doga Kobo,4-koma manga,3,PG-13 - Teens 13 or older,1376,117325,95,940
Gochuumon wa Usagi Desu ka??: Sing for You,Is the Order a Rabbit?? OVA,7.75,"Comedy, Slice of Life",OVA,1,Finished Airing,9/26/2019,,,,"None found, add some","None found, add some",production doA,4-koma manga,25,PG-13 - Teens 13 or older,4051,18454,63,941
Hakuouki Movie 2: Shikon Soukyuu,Hakuoki ~Demon of the Fleeting Blossom~ Warrior Spirit of the Blue Sky,7.75,"Action, Historical, Supernatural, Drama, Samurai, Josei",Movie,1,Finished Airing,3/8/2014,,,,"None found, add some",Sentai Filmworks,Studio Deen,Visual novel,87,PG-13 - Teens 13 or older,3978,19034,62,942
Hibike! Euphonium Movie 2: Todoketai Melody,Sound! Euphonium the Movie: May the Melody Reach You!,7.75,"Drama, Music, School",Movie,1,Finished Airing,9/30/2017,,,,"Lantis, Shochiku, Pony Canyon",Eleven Arts,Kyoto Animation,Novel,115,PG-13 - Teens 13 or older,3713,22455,24,943
InuYasha: Kuroi Tessaiga,,7.75,"Adventure, Comedy, Demons, Supernatural, Magic, Romance, Fantasy, Shounen",Special,1,Finished Airing,7/30/2008,,,,Atelier Musa,"None found, add some",Sunrise,Unknown,29,PG-13 - Teens 13 or older,3080,32498,61,944
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai","Miss Kobayashi's Dragon Maid Episode 14: Valentine's, and Then Hot Springs! - Please Don't Get Your Hopes Up",7.75,"Slice of Life, Comedy, Fantasy",Special,1,Finished Airing,9/20/2017,,,,"None found, add some",Funimation,Kyoto Animation,Manga,23,PG-13 - Teens 13 or older,1090,155458,192,945
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,,7.75,"Slice of Life, Comedy, Police",TV,373,Finished Airing,6/16/1996,12/19/2004,Summer 1996,Sundays at 19:00 (JST),"Asatsu DK, Fuji TV","None found, add some",Gallop,Manga,25,PG-13 - Teens 13 or older,4602,13540,142,946
Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D,Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,7.75,"Military, Sci-Fi, Mystery, Police, Mecha, Seinen",Movie,1,Finished Airing,3/26/2011,,,,"None found, add some","None found, add some",Production I.G,Unknown,108,R - 17+ (violence & profanity),4545,13909,17,947
Lucky☆Star,,7.75,"Slice of Life, Comedy, Parody, School",TV,24,Finished Airing,4/8/2007,9/17/2007,Spring 2007,Mondays at 00:00 (JST),"Lantis, Rakuonsha, Lucky Paradise","Funimation, Bandai Entertainment, Kadokawa Pictures USA",Kyoto Animation,4-koma manga,24,PG-13 - Teens 13 or older,244,564289,10497,948
Master Keaton OVA,,7.75,"Adventure, Drama, Historical, Mystery, Seinen, Slice of Life",OVA,15,Finished Airing,12/21/1999,6/20/2000,,,"VAP, Shogakukan-Shueisha Productions",Geneon Entertainment USA,Madhouse,Manga,24,R - 17+ (violence & profanity),5740,7851,19,949
Mobile Suit Gundam Wing: Endless Waltz,,7.75,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,3,Finished Airing,1/25/1997,7/25/1997,,,"Bandai Visual, Sotsu",Bandai Entertainment,Sunrise,Original,30,PG-13 - Teens 13 or older,2640,42971,165,950
Arakawa Under the Bridge x Bridge,,7.74,"Comedy, Romance, Seinen",TV,13,Finished Airing,10/4/2010,12/27/2010,Fall 2010,Mondays at 01:35 (JST),"Square Enix, Starchild Records, TV Tokyo Music, GANSIS","NIS America, Inc.",Shaft,Manga,23,PG-13 - Teens 13 or older,1168,144617,398,951
Chi's Sweet Home: Atarashii Ouchi,Chi's New Address,7.74,"Comedy, Kids, Slice of Life",TV,104,Finished Airing,3/30/2009,9/24/2009,Spring 2009,Not scheduled once per week,"None found, add some",Discotek Media,Madhouse,Manga,3,G - All Ages,3458,25931,95,952
Chuunibyou demo Koi ga Shitai!,"Love, Chunibyo & Other Delusions!",7.74,"Slice of Life, Comedy, Drama, Romance, School",TV,12,Finished Airing,10/4/2012,12/20/2012,Fall 2012,Thursdays at 00:30 (JST),"Lantis, Pony Canyon, TBS, Rakuonsha, Animation Do",Sentai Filmworks,Kyoto Animation,Light novel,24,PG-13 - Teens 13 or older,82,1090486,14979,953
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",My Roommate is a Cat,7.74,"Slice of Life, Comedy",TV,12,Finished Airing,1/9/2019,3/27/2019,Winter 2019,Wednesdays at 23:30 (JST),"AT-X, NBCUniversal Entertainment Japan, Tokyo MX, Avex Pictures, Q-Tec, BS11, ABC Animation, GYAO!, BookLive",Funimation,Zero-G,Web manga,23,PG-13 - Teens 13 or older,1145,147695,947,954
Dramaturgy,,7.74,Music,Music,1,Finished Airing,10/10/2017,,,,"None found, add some","None found, add some","None found, add some",Original,4,G - All Ages,8379,2827,24,955
Hidamari Sketch x 365 Specials,,7.74,"Slice of Life, Comedy, School, Seinen",Special,3,Finished Airing,3/25/2009,10/24/2009,,,Lantis,Sentai Filmworks,Shaft,4-koma manga,24,PG-13 - Teens 13 or older,4371,15389,11,956
Hug tto! Precure,,7.74,"Action, Magic, Fantasy, Shoujo",TV,49,Finished Airing,2/4/2018,1/27/2019,Winter 2018,Sundays at 08:30 (JST),"Asahi Broadcasting, ABC Animation, Echoes","None found, add some",Toei Animation,Original,24,G - All Ages,4755,12376,194,957
Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,Winter Cup Highlights Episode 3 – Winter Cup Highlights -Crossing the Door-,7.74,"Comedy, Sports, Shounen",Movie,1,Finished Airing,12/3/2016,,,,"None found, add some","None found, add some",Production I.G,Manga,88,PG-13 - Teens 13 or older,3310,28262,31,958
Kuroko no Basket: Last Game NG-shuu,,7.74,"Comedy, Sports, Shounen",Special,1,Finished Airing,9/27/2017,,,,Bandai Visual,"None found, add some",Production I.G,Manga,2,PG-13 - Teens 13 or older,3557,24431,37,959
Noragami OVA,,7.74,"Action, Adventure, Comedy, Supernatural, Shounen",OVA,2,Finished Airing,2/17/2014,7/17/2014,,,"Avex Entertainment, Ai Addiction","None found, add some",Bones,Manga,24,PG-13 - Teens 13 or older,600,277719,340,960
Pokemon: The Origin,Pokémon: Origins,7.74,"Action, Adventure, Comedy, Fantasy, Kids",Special,4,Finished Airing,10/2/2013,,,,"None found, add some",The Pokemon Company International,"Production I.G, Xebec, OLM",Game,21,PG - Children,879,195049,567,961
Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿,,7.74,"Action, Sci-Fi, Police, Psychological",Movie,1,Finished Airing,3/8/2019,,,,"Dentsu, Fuji TV, Nitroplus, Sony Music Entertainment, TOHO animation, MAGNET","None found, add some",Production I.G,Original,67,R - 17+ (violence & profanity),2044,67269,73,962
Ranma ½ OVA,,7.74,"Comedy, Martial Arts, Romance, Shounen",OVA,6,Finished Airing,10/21/1993,8/19/1994,,,"Pony Canyon, Fuji TV",VIZ Media,"Studio Deen, Kitty Films",Manga,30,PG-13 - Teens 13 or older,3336,27823,60,963
Rurouni Kenshin DVD-BOX Special Ending,Samurai X DVD-BOX Special Ending,7.74,"Historical, Romance",Special,1,Finished Airing,6/29/1905,,,,"Aniplex, SME Visual Works, Fuji TV","None found, add some","None found, add some",Manga,2,G - All Ages,4277,16347,51,964
School Rumble: Ichi Gakki Hoshuu,,7.74,"Comedy, Romance, School, Shounen",OVA,2,Finished Airing,12/22/2005,,,,Studio Jack,Funimation,Studio Comet,Manga,25,PG-13 - Teens 13 or older,2343,54133,94,965
Slayers,,7.74,"Adventure, Comedy, Demons, Magic, Fantasy",TV,26,Finished Airing,4/7/1995,9/29/1995,Spring 1995,Fridays at 18:30 (JST),"J.C.Staff, TV Tokyo, SoftX, TV Tokyo Music","Funimation, Central Park Media, Enoki Films",E&G Films,Light novel,22,PG-13 - Teens 13 or older,1326,122645,1784,966
Yamato Nadeshiko Shichihenge♥,The Seven Metamorphoses of Yamato Nadeshiko,7.74,"Comedy, Shoujo",TV,25,Finished Airing,10/4/2006,3/28/2007,Fall 2006,Wednesdays at 01:30 (JST),"None found, add some","ADV Films, Funimation",Nippon Animation,Manga,24,PG-13 - Teens 13 or older,1189,141687,2077,967
New Game!!,,7.73,"Game, Slice of Life, Comedy",TV,12,Finished Airing,7/11/2017,9/26/2017,Summer 2017,Tuesdays at 21:30 (JST),"Frontier Works, Media Factory, Movic, AT-X, Sony Music Communications, Houbunsha, MAGES., Lawson","Funimation, Crunchyroll",Doga Kobo,4-koma manga,24,PG-13 - Teens 13 or older,780,216823,804,968
Psycho-Pass Movie,Psycho-Pass: The Movie,7.73,"Action, Military, Police, Sci-Fi",Movie,1,Finished Airing,1/9/2015,,,,"Dentsu, Fuji TV, Nitroplus, Sony Music Entertainment, TOHO animation, Kyoraku Industrial Holdings",Funimation,Production I.G,Original,113,R - 17+ (violence & profanity),747,227798,474,969
Rozen Maiden: Ouvertüre,,7.73,"Action, Comedy, Drama, Magic, Seinen",Special,2,Finished Airing,12/23/2006,12/24/2006,,,Mellow Head,Sentai Filmworks,Nomad,Manga,24,PG-13 - Teens 13 or older,2273,56669,195,970
Sekaiichi Hatsukoi,Sekai Ichi Hatsukoi - World's Greatest First Love,7.73,"Comedy, Drama, Romance, Shounen Ai",TV,12,Finished Airing,4/9/2011,6/25/2011,Spring 2011,Unknown,"Lantis, Kadokawa Shoten, AT-X, DAX Production, KlockWorx",Funimation,Studio Deen,Manga,23,PG-13 - Teens 13 or older,902,188587,2882,971
Tetsuwan Birdy Decode:02,Birdy the Mighty: Decode 02,7.73,"Action, Sci-Fi, Comedy",TV,12,Finished Airing,1/10/2009,3/28/2009,Winter 2009,Saturdays at 02:10 (JST),"Aniplex, Shogakukan",Funimation,A-1 Pictures,Manga,23,R - 17+ (violence & profanity),2534,46484,228,972
Watashi no Ashinaga Ojisan,My Daddy Long Legs,7.73,"Comedy, Historical, Romance, School, Shoujo, Slice of Life",TV,40,Finished Airing,1/4/1990,12/23/1990,Winter 1990,Sundays at 19:30 (JST),"None found, add some","None found, add some",Nippon Animation,Novel,23,G - All Ages,4667,12981,121,973
Baka to Test to Shoukanjuu Ni!,Baka & Test – Summon the Beasts 2,7.73,"Comedy, Romance, School, Super Power",TV,13,Finished Airing,7/8/2011,9/30/2011,Summer 2011,Fridays at Unknown,"Lantis, Media Factory, Enterbrain, Cospa, Kadokawa Contents Gate, TV Tokyo Music, PRA, T.O Entertainment, Hakuhodo DY Media Partners",Funimation,SILVER LINK.,Light novel,24,PG-13 - Teens 13 or older,482,333037,1134,974
Berserk: Ougon Jidai-hen I - Haou no Tamago,Berserk: The Golden Age Arc I - The Egg of the King,7.73,"Action, Military, Adventure, Demons, Supernatural, Fantasy, Seinen",Movie,1,Finished Airing,2/4/2012,,,,"Yahoo! Japan, Good Smile Company, Beyond C., Rialto Entertainment","VIZ Media, NYAV Post",Studio 4°C,Manga,76,R+ - Mild Nudity,945,180208,746,975
Bishoujo Senshi Sailor Moon Crystal Season III,Pretty Guardian Sailor Moon Crystal Season III,7.73,"Demons, Magic, Romance, Shoujo",TV,13,Finished Airing,4/4/2016,6/27/2016,Spring 2016,Mondays at 23:00 (JST),"Starchild Records, Kodansha",VIZ Media,Toei Animation,Manga,24,PG-13 - Teens 13 or older,2527,46759,291,976
Black Jack,,7.73,"Drama, Mystery, Psychological, Thriller",OVA,12,Finished Airing,12/21/1993,12/16/2011,,,"Animax, Akita Shoten",Central Park Media,Tezuka Productions,Manga,50,PG-13 - Teens 13 or older,3077,32606,263,977
Break Blade 2: Ketsubetsu no Michi,Broken Blade 2,7.73,"Action, Fantasy, Mecha, Military, Shounen",Movie,1,Finished Airing,6/26/2010,,,,"KlockWorx, Flex Comix, Fields",Sentai Filmworks,"Production I.G, Xebec",Manga,51,R - 17+ (violence & profanity),2229,58516,27,978
D.Gray-man Hallow,,7.73,"Action, Adventure, Super Power, Demons, Shounen",TV,13,Finished Airing,7/5/2016,9/27/2016,Summer 2016,Tuesdays at 01:35 (JST),"TV Tokyo, Aniplex, Dentsu, Shueisha",Funimation,TMS Entertainment,Manga,24,R - 17+ (violence & profanity),1008,165864,946,979
Daicon Opening Animations,,7.73,"Action, Sci-Fi, Adventure, Music, Mecha",Special,2,Finished Airing,8/22/1981,8/20/1983,,,"None found, add some","None found, add some",Gainax,Other,5,PG - Children,4224,16769,159,980
Haikyuu!!: Lev Genzan!,,7.73,"Shounen, Sports",OVA,1,Finished Airing,3/4/2015,,,,"None found, add some","None found, add some",Production I.G,Manga,24,PG-13 - Teens 13 or older,1495,104994,161,981
Hanasakeru Seishounen,,7.73,"Drama, Romance, Shoujo",TV,39,Finished Airing,4/5/2009,2/14/2010,Spring 2009,Unknown,"None found, add some",Discotek Media,Studio Pierrot,Manga,24,PG-13 - Teens 13 or older,2189,60898,538,982
IDOLiSH7,,7.73,"Music, Drama",TV,17,Finished Airing,1/7/2018,5/19/2018,Winter 2018,Sundays at 22:30 (JST),"Bandai Visual, Lantis, Bandai Namco Games","None found, add some",TROYCA,Game,24,PG-13 - Teens 13 or older,2516,47255,946,983
Karakai Jouzu no Takagi-san,Teasing Master Takagi-san,7.73,"Slice of Life, Comedy, Romance, School, Shounen",TV,12,Finished Airing,1/8/2018,3/26/2018,Winter 2018,Mondays at 23:00 (JST),"TMS Entertainment, Asatsu DK, Asmik Ace, TOHO animation, JR East Marketing & Communications",Funimation,Shin-Ei Animation,Manga,23,PG-13 - Teens 13 or older,362,428937,3695,984
Kuroko no Basket 2nd Season NG-shuu,,7.73,"Comedy, Sports",Special,9,Finished Airing,1/29/2014,9/24/2014,,,"None found, add some","None found, add some",Production I.G,Manga,2,PG-13 - Teens 13 or older,2307,55501,120,985
Little Busters!: EX,Little Busters! EX,7.73,"Slice of Life, Comedy, Supernatural, Drama, Romance, School",Special,8,Finished Airing,1/29/2014,7/30/2014,,,"None found, add some",Sentai Filmworks,J.C.Staff,Visual novel,24,PG-13 - Teens 13 or older,2488,48292,144,986
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV) 2nd Season,,7.73,"Psychological, Drama, Magic, Thriller",TV,Unknown,Currently Airing,7/31/2021,,Summer 2021,Unknown,"None found, add some",Aniplex of America,Shaft,Game,0,PG-13 - Teens 13 or older,3039,33044,309,987
Memories,,7.73,"Drama, Horror, Psychological, Sci-Fi",Movie,3,Finished Airing,12/23/1995,,,,"Bandai Visual, Shochiku, Victor Entertainment, Kodansha","Sony Pictures Entertainment, Discotek Media","Madhouse, Studio 4°C",Manga,37,PG-13 - Teens 13 or older,1708,88912,444,988
Ani ni Tsukeru Kusuri wa Nai! 2,,7.72,"Comedy, School, Slice of Life",TV,24,Finished Airing,7/9/2018,12/17/2018,Summer 2018,Mondays at 21:54 (JST),Tencent Penguin Pictures,"None found, add some","Fanworks, Imagineer",Web manga,3,PG-13 - Teens 13 or older,2925,35604,73,989
Aoi Bungaku Series,,7.72,"Drama, Historical, Psychological, Seinen, Thriller",TV,12,Finished Airing,10/11/2009,12/27/2009,Fall 2009,Unknown,"Movic, Happinet Pictures, RAY","None found, add some",Madhouse,Novel,23,R - 17+ (violence & profanity),921,184568,1375,990
Asagao to Kase-san.,Kase-san and Morning Glories,7.72,"Romance, School, Shoujo, Shoujo Ai",OVA,1,Finished Airing,6/9/2018,,,,Sotsu,Sentai Filmworks,Zexcs,Manga,58,PG-13 - Teens 13 or older,1956,71047,625,991
Detective Conan Movie 16: The Eleventh Striker,,7.72,"Adventure, Comedy, Mystery, Police, Shounen, Sports",Movie,1,Finished Airing,4/14/2012,,,,"None found, add some","None found, add some",TMS Entertainment,Manga,110,G - All Ages,2952,35020,18,992
Detective Conan Movie 19: The Hellfire Sunflowers,Detective Conan: The Sunflowers of Inferno,7.72,"Action, Mystery, Police, Shounen",Movie,1,Finished Airing,4/18/2015,,,,"None found, add some","None found, add some",TMS Entertainment,Manga,112,PG-13 - Teens 13 or older,3182,30267,35,993
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,Dragon Ball Z Special 2: The History of Trunks,7.72,"Adventure, Drama, Fantasy, Shounen",Special,1,Finished Airing,2/24/1993,,,,"None found, add some",Funimation,Toei Animation,Manga,48,PG-13 - Teens 13 or older,1726,87593,125,994
Gakuen Babysitters Special,,7.72,Comedy,Special,1,Finished Airing,9/26/2018,,,,"None found, add some","None found, add some",Brain's Base,Manga,27,PG-13 - Teens 13 or older,3401,26921,34,995
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",GATE,7.72,"Action, Adventure, Fantasy, Military",TV,12,Finished Airing,7/4/2015,9/19/2015,Summer 2015,Saturdays at 00:30 (JST),"Genco, Magic Capsule, Warner Bros. Japan, KlockWorx, Showgate, Bandai Namco Games",Sentai Filmworks,A-1 Pictures,Light novel,23,R - 17+ (violence & profanity),196,652276,5184,996
Hourou Musuko,Wandering Son,7.72,"Drama, Romance, School, Seinen, Slice of Life",TV,11,Finished Airing,1/14/2011,4/1/2011,Winter 2011,Fridays at 01:15 (JST),"Aniplex, AIC, Dentsu, Fuji TV, Magic Capsule, Enterbrain, Fujipacific Music","None found, add some",AIC Classic,Manga,23,PG-13 - Teens 13 or older,1421,112024,974,997
Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,Beyond the Boundary: I'll Be Here - Past,7.72,"Action, Supernatural, Fantasy",Movie,1,Finished Airing,3/14/2015,,,,Shochiku,Sentai Filmworks,Kyoto Animation,Light novel,82,PG-13 - Teens 13 or older,1253,133792,222,998
Macross Plus,,7.72,"Drama, Mecha, Military, Romance, Sci-Fi, Space",OVA,4,Finished Airing,8/25/1994,6/25/1995,,,Studio Nue,Manga Entertainment,Triangle Staff,Original,39,R - 17+ (violence & profanity),2739,39851,348,999
Macross Plus Movie Edition,,7.72,"Action, Adventure, Mecha, Military, Romance, Sci-Fi, Space",Movie,1,Finished Airing,10/7/1995,,,,Studio Nue,Manga Entertainment,Triangle Staff,Original,115,PG-13 - Teens 13 or older,4504,14248,68,1000
